"('golem', 'contracts/GolemNetworkTokenBatching_inst.sol', 'GolemNetworkTokenBatching', 'batchTransfer')","['index(uint256)', '(local_solc_variable(default)):=(reference(uint256))', 'type_conversion(address)', '(local_solc_variable(default)):=(temporary_variable)', 'type_conversion(uint256)', 'binary(**)', 'binary(/)', '(local_solc_variable(default)):=(temporary_variable)', 'binary(<=)', 'solidity_call(require(bool))', 'index(uint256)', 'binary(+)', 'binary(-)', 'event', 'index(uint256)', '(reference(uint256)):=(local_solc_variable(default))']"
"('golem', 'contracts/GolemNetworkTokenBatching_inst.sol', 'TokenProxy', 'withdraw')",['internal_call(tuple)']
"('golem', 'contracts/TokenProxy.sol', 'TokenProxy', 'transferFromGate')","['(local_solc_variable(default)):=(solidity_variable_composed(msg.sender))', 'index(address)', '(local_solc_variable(default)):=(reference(address))', 'binary(!=)', 'solidity_call(require(bool))', 'high_level_call', '(local_solc_variable(default)):=(temporary_variable)', 'type_conversion(user_defined_type)', 'high_level_call', 'binary(+)', 'index(uint256)', 'binary(+)', 'event']"
"('golem', 'contracts/GNTDeposit.sol', 'GNTDeposit', 'burn')","['internal_call(tuple)', 'event', 'internal_call(Modifier)']"
"('golem', 'contracts/GNTDeposit.sol', 'GNTDeposit', 'withdraw')","['index(uint256)', '(local_solc_variable(default)):=(reference(uint256))', 'index(uint256)', '(reference(uint256)):=(constant(uint256))', 'index(uint256)', '(reference(uint256)):=(constant(uint256))', 'high_level_call', 'solidity_call(require(bool))', 'event', 'internal_call(Modifier)']"
"('golem', 'contracts/GNTDeposit.sol', 'GNTDeposit', 'onTokenReceived')","['index(uint256)', 'binary(+)', 'event', 'internal_call(Modifier)']"
"('nomisma', 'BankProtcol/contracts/BankInitialise.sol', 'BankInitialise', 'preinit')","['index(address)', 'type_conversion(user_defined_type)', '(state_solc_variable(user_defined_type)):=(temporary_variable)', 'internal_call(tuple)', 'index(address)', 'type_conversion(user_defined_type)', '(state_solc_variable(user_defined_type)):=(temporary_variable)', 'index(address)', 'type_conversion(user_defined_type)', '(state_solc_variable(user_defined_type)):=(temporary_variable)', 'index(address)', 'type_conversion(user_defined_type)', '(state_solc_variable(user_defined_type)):=(temporary_variable)', 'index(address)', '(state_solc_variable(address)):=(reference(address))', 'internal_call(tuple)', 'index(address)', 'index(address)', 'internal_call(tuple)', 'index(uint256)', 'binary(>)', 'solidity_call(require(bool))', 'index(uint256)', 'binary(<)', 'solidity_call(require(bool))', 'index(uint256)', 'binary(<)', 'solidity_call(require(bool))', 'index(uint256)', 'binary(<)', 'solidity_call(require(bool))', 'index(uint256)', 'binary(==)', 'solidity_call(require(bool))', 'index(uint256)', 'index(uint256)', '(reference(uint256)):=(reference(uint256))', 'index(uint256)', '(reference(uint256)):=(constant(uint256))', 'index(uint256)', 'index(uint256)', '(reference(uint256)):=(reference(uint256))', 'index(uint256)', 'index(uint256)', '(reference(uint256)):=(reference(uint256))', 'index(address)', 'type_conversion(user_defined_type)', '(state_solc_variable(user_defined_type)):=(temporary_variable)', 'type_conversion(address)', 'internal_call(tuple)', 'index(uint256)', 'index(uint256)', 'index(uint256)', 'index(address)', 'internal_call(tuple)', 'return']"
"('nomisma', 'BankProtcol/contracts/BankBorrow.sol', 'BankBorrow', 'updatePaybackAmountsState')","['(local_solc_variable(default)):=(constant(uint256))', 'length', 'binary(<)', 'condition(temporary_variable)', 'index(uint256)', 'index(struct)', '(local_solc_variable(memory)):=(reference(user_defined_type))', 'index(uint256)', 'internal_call(uint256)', '(local_solc_variable(default)):=(temporary_variable)', 'member', 'index(uint256)', 'library_call', '(local_solc_variable(default)):=(temporary_variable)', 'index(uint256)', 'internal_call(bool)', 'binary(==)', 'condition(temporary_variable)', 'index(uint256)', 'index(struct)', 'member', '(reference(uint256)):=(constant(uint256))', 'member', 'type_conversion(address)', 'binary(==)', 'condition(temporary_variable)', 'member', 'transfer(reference(uint256))', 'high_level_call', 'member', 'type_conversion(address)', 'member', 'solidity_call(abi.encodeWithSignature())', 'low_level_call', 'solidity_call(require(bool,string))', '(temporary_variable):=(local_solc_variable(default))', 'binary(+)']"
"('nomisma', 'BankProtcol/contracts/BankBorrow.sol', 'BankBorrow', 'payBackLoans')","['internal_call(uint256)', '(local_solc_variable(default)):=(temporary_variable)', 'high_level_call', '(local_solc_variable(default)):=(temporary_variable)', 'internal_call(tuple)', 'internal_call(tuple)']"
"('nomisma', 'BankProtcol/contracts/BankBorrow.sol', 'BankBorrow', 'borrow')","['index(uint256)', 'binary(<)', 'solidity_call(require(bool))', 'index(uint256[])', 'length', 'binary(<)', 'solidity_call(require(bool,string))', 'length', 'binary(<)', 'solidity_call(require(bool,string))', 'index(uint256[])', 'length', 'binary(>)', 'solidity_call(require(bool,string))', 'index(uint256[])', 'index(uint256)', '(local_solc_variable(default)):=(reference(uint256))', 'internal_call(uint256)', '(local_solc_variable(default)):=(temporary_variable)', 'binary(>)', 'solidity_call(require(bool,string))', 'high_level_call', '(local_solc_variable(default)):=(temporary_variable)', 'type_conversion(address)', 'binary(==)', 'condition(temporary_variable)', 'binary(==)', 'solidity_call(require(bool,string))', 'high_level_call', 'solidity_call(require(bool,string))', 'index(uint256)', 'index(uint256)', 'library_call', '(reference(uint256)):=(temporary_variable)', 'internal_call(bool)', 'solidity_call(require(bool))', 'type_conversion(address)', 'binary(==)', 'condition(temporary_variable)', 'transfer(local_solc_variable(default))', 'high_level_call', 'type_conversion(address)', 'solidity_call(abi.encodeWithSignature())', 'low_level_call', 'solidity_call(require(bool,string))']"
